CO,O3,NO2,SO2,PM10,PM2.5,AQI
31,53,54,23,52,74,74
35,38,57,22,55,70,70
26,49,61,17,49,63,63
29,37,54,18,47,58,58
26,45,52,18,46,60,60
28,33,52,16,49,63,63
27,48,51,18,55,69,69
32,52,54,22,36,67,67
40,50,70,21,72,106,106
32,37,61,19,89,118,118
33,33,59,19,135,146,146
30,35,61,18,71,94,94
33,43,71,19,81,107,107
41,49,65,18,88,116,116
30,43,54,18,72,103,103
31,38,74,19,62,87,87
30,44,67,18,57,74,74
30,45,57,19,46,68,68
37,128,81,22,58,92,128
43,79,77,15,56,81,92
28,39,54,14,44,63,63
38,45,72,17,78,100,100
35,65,76,18,80,101,101
37,41,66,18,70,104,104
32,42,61,17,67,85,85
33,46,58,19,62,86,86
29,35,55,16,58,85,85
32,62,61,16,56,86,86
46,70,68,18,50,81,81
36,51,70,19,58,90,90
34,53,75,17,64,92,92
36,88,68,18,50,80,88
46,58,69,18,56,82,82
52,60,80,20,62,93,93
49,67,84,19,56,84,84
53,59,78,17,60,87,87
42,54,77,18,89,110,110
36,74,73,19,92,114,114
36,61,70,19,82,104,104
37,87,77,20,71,96,96
31,58,56,15,61,82,82
36,80,66,17,66,91,91
41,66,73,18,68,94,94
32,54,62,19,75,102,102
33,43,70,19,62,81,81
39,31,71,22,72,97,97
34,43,66,19,83,100,100
33,39,71,16,78,101,101
31,48,56,17,57,71,71
43,66,71,19,57,73,73
52,63,82,18,57,80,80
31,53,70,18,59,77,77
45,73,79,20,59,84,84
53,67,95,22,64,94,94
39,51,78,16,79,97,97
52,87,87,20,74,100,100
51,61,81,19,67,91,91
42,38,74,18,66,83,83
40,36,70,19,63,82,82
51,48,71,20,81,109,109
39,79,68,20,91,112,112
40,62,68,14,82,108,108
43,54,58,14,71,94,94
33,66,54,13,79,91,91
33,58,60,16,60,83,83
40,66,75,18,65,89,89
46,60,73,20,65,95,95
29,50,66,20,64,87,87
33,56,76,19,58,85,85
32,67,71,16,56,82,82
39,56,77,20,51,76,76
39,65,85,19,58,82,82
46,56,81,20,59,84,84
46,62,84,20,60,82,82
52,63,84,22,63,92,92
46,67,88,20,67,90,90
48,67,80,18,63,85,85
43,55,83,18,58,85,85
42,43,80,20,61,87,87
51,50,80,21,67,95,95
32,48,76,18,65,94,94
38,44,77,20,60,83,83
40,48,75,21,63,83,83
44,46,71,19,62,85,85
49,57,72,20,54,81,81
41,53,86,20,63,93,93
33,55,80,19,64,89,89
34,56,80,20,63,87,87
39,56,80,20,60,85,85
43,60,81,20,68,93,93
48,61,78,20,64,90,90
51,67,81,22,63,88,88
42,69,74,21,69,94,94
49,48,86,22,76,99,99
45,37,81,21,73,96,96
47,46,81,22,71,98,98
41,47,76,23,79,101,101
30,41,70,20,70,92,92
34,48,63,17,114,124,124
46,50,72,22,80,107,107
53,43,75,19,79,103,103
45,43,71,22,67,85,85
48,57,88,27,75,103,103
32,44,57,18,123,119,123
30,38,61,18,75,84,84
41,46,67,22,60,78,78
36,60,71,22,72,98,98
47,55,72,20,78,94,94
36,51,63,20,69,86,86
38,43,63,22,67,86,86
50,48,70,25,72,94,94
33,32,58,12,84,89,89
45,31,63,22,67,89,89
43,34,58,22,62,88,88
37,34,64,20,51,65,65
54,47,76,22,57,80,80
48,68,83,23,60,85,85
51,40,80,22,62,84,84
62,38,76,20,59,75,75
61,41,78,18,60,82,82
45,38,78,18,69,91,91
54,39,78,19,64,80,80
52,38,78,20,58,81,81
53,32,78,21,84,110,110
53,32,72,17,80,98,98
35,28,53,15,122,106,122
33,38,62,20,60,76,76
32,32,55,21,67,76,76
36,26,71,22,61,77,77
50,36,74,22,68,95,95
47,40,72,20,72,97,97
51,39,81,20,73,94,94
62,34,77,21,70,91,91
54,42,78,20,66,92,92
58,48,84,23,70,95,95
57,44,78,21,61,83,83
48,37,72,21,59,75,75
47,44,67,20,53,71,71
56,50,70,24,53,71,71
46,48,72,22,65,87,87
48,41,69,23,60,80,80
47,23,66,23,77,96,96
46,29,65,22,69,90,90
46,36,64,24,76,97,97
37,20,65,23,77,95,95
42,30,69,24,76,96,96
43,41,63,22,70,94,94
37,42,55,21,63,80,80
42,35,59,24,58,83,83
40,37,63,24,63,85,85
39,40,64,23,57,78,78
32,30,56,22,46,65,65
41,24,75,25,66,85,85
80,28,76,27,77,110,110
53,38,73,28,78,116,116
46,31,72,25,75,116,116
59,37,73,24,77,110,110
45,30,54,19,67,89,89
38,34,57,21,73,99,99
29,29,48,16,64,69,69
46,24,61,20,60,86,86
52,26,83,25,72,106,106
38,28,80,21,65,99,99
32,29,56,19,44,66,66
35,26,62,19,43,70,70
45,26,76,20,63,107,107
50,26,85,22,75,123,123
60,30,88,26,74,120,120
65,32,88,28,79,136,136
72,34,104,27,98,156,156
64,36,100,31,97,155,155
59,27,103,29,94,146,146
67,26,96,33,107,154,154
54,35,96,30,128,140,140
60,20,90,28,87,124,124
48,23,79,24,69,102,102
32,19,56,18,62,70,70
31,18,48,17,28,50,50
32,22,46,19,31,53,53
38,23,49,23,34,54,54
31,22,50,19,38,49,49
30,19,49,20,46,70,70
38,22,67,29,55,94,94
40,17,71,36,69,126,126
42,13,81,39,76,126,126
63,19,91,30,77,139,139
69,14,103,35,94,152,152
54,19,98,40,91,151,151
54,13,87,27,74,126,126
60,15,77,20,42,75,75
52,26,74,21,47,64,64
61,21,88,25,63,99,99
40,14,94,26,63,108,108
45,19,77,19,52,83,83
58,13,95,24,60,106,106
34,15,84,20,46,72,72
38,19,64,22,43,78,78
47,16,83,28,74,131,131
37,23,69,19,42,66,66
50,16,77,25,59,103,103
50,19,83,37,79,135,135
42,25,86,38,74,122,122
34,21,58,18,42,60,60
39,28,63,18,33,49,49
32,33,56,19,30,47,47
37,26,56,22,41,65,65
31,17,53,25,42,65,65
32,17,64,23,55,100,100
45,18,79,24,68,126,126
50,15,85,29,87,153,153
43,16,84,30,86,154,154
37,13,73,27,79,143,143
45,7,63,20,67,138,138
69,16,86,21,83,142,142
38,14,64,16,43,94,94
48,11,84,18,51,93,93
50,15,88,22,72,124,124
42,14,92,27,81,141,141
50,15,87,28,92,151,151
37,16,77,25,85,142,142
28,29,59,15,36,54,54
40,21,70,19,46,74,74
30,28,64,17,34,51,51
43,21,77,20,58,93,93
51,23,91,34,71,130,130
51,21,92,35,84,142,142
54,16,93,31,95,159,159
38,15,91,24,65,124,124
52,20,82,20,69,127,127
48,16,86,25,76,135,135
37,20,80,20,61,113,113
33,25,68,22,58,110,110
36,26,68,19,57,83,83
41,18,69,23,72,119,119
47,15,84,22,66,124,124
45,21,86,25,68,125,125
42,22,84,22,73,133,133
38,22,82,23,75,131,131
30,29,67,19,53,104,104
35,18,73,17,51,96,96
33,26,68,17,50,91,91
34,21,63,18,50,88,88
44,19,74,19,57,114,114
33,17,71,19,54,90,90
42,10,78,25,66,118,118
34,15,68,15,27,67,67
28,29,65,17,41,73,73
30,28,63,15,37,55,55
37,19,82,22,65,101,101
33,19,75,24,62,103,103
36,21,71,17,60,96,96
32,26,62,14,36,51,51
39,24,73,20,50,82,82
43,20,86,27,72,126,126
44,16,85,26,79,134,134
35,27,78,20,50,82,82
41,26,83,21,58,97,97
39,30,83,23,65,100,100
31,20,80,18,51,89,89
32,25,56,17,48,85,85
27,21,50,16,35,65,65
32,23,66,16,45,82,82
48,14,69,18,41,85,85
37,24,76,19,58,91,91
28,33,65,21,40,58,58
28,28,59,16,41,58,58
31,38,54,16,32,44,44
32,21,62,20,47,76,76
37,19,80,27,66,111,111
45,21,91,28,81,134,134
43,23,92,26,69,124,124
39,33,79,19,59,86,86
39,21,68,19,52,75,75
45,31,84,21,59,89,89
39,31,84,22,58,82,82
36,35,81,20,55,78,78
42,36,81,23,61,88,88
35,35,76,20,57,83,83
33,31,76,18,60,77,77
32,30,66,19,57,71,71
39,27,78,17,55,90,90
26,33,69,17,57,86,86
29,29,55,17,47,66,66
34,12,73,20,51,86,86
39,28,81,20,62,114,114
33,33,83,18,51,93,93
31,33,82,20,59,100,100
32,50,80,18,58,101,101
26,39,70,16,40,63,63
35,38,79,18,81,93,93
28,29,68,20,60,86,86
31,30,73,17,62,110,110
41,38,75,18,54,74,74
28,43,62,15,60,72,72
26,41,60,18,52,61,61
41,33,67,19,50,56,56
22,34,51,15,42,50,50
26,38,47,13,37,52,52
22,38,47,14,21,34,38
22,39,51,14,19,36,39
35,24,57,13,19,38,38
31,25,56,17,21,39,39
28,26,59,14,25,58,58
33,48,68,19,41,67,67
28,47,71,19,38,59,59
31,46,65,19,29,49,49
30,44,62,18,31,44,44
28,49,62,17,36,49,49
22,55,61,14,38,66,66
27,55,61,15,28,50,55
26,38,54,19,27,50,50
30,25,54,19,30,54,54
37,26,74,19,44,71,71
31,42,73,20,43,67,67
36,53,76,20,47,68,68
34,61,78,18,49,72,72
31,51,70,19,60,73,73
31,48,63,16,76,92,92
43,31,76,21,81,114,114
29,37,54,17,61,85,85
49,26,68,18,63,101,101
35,41,68,19,74,103,103
42,33,72,19,77,103,103
25,43,63,15,52,56,56
31,46,63,16,36,51,51
34,58,69,18,47,65,65
32,47,64,19,57,67,67
26,41,54,14,39,47,47
32,50,63,15,44,55,55
32,62,64,19,42,55,62
36,59,74,19,58,73,73
30,39,59,14,62,68,68
27,45,50,16,71,73,73
28,47,62,15,53,75,75
29,36,64,14,57,71,71
24,43,55,13,45,51,51
24,45,46,16,51,61,61
24,43,49,18,40,54,54
27,60,61,18,59,85,85
31,53,60,16,60,92,92
28,61,63,16,62,94,94
29,38,54,16,48,75,75
39,35,58,16,53,82,82
25,44,54,15,35,62,62
40,45,66,18,56,90,90
32,50,57,17,48,68,68
40,56,66,19,51,76,76
41,47,64,15,44,61,61
38,46,63,14,45,64,64
37,60,70,16,49,68,68
26,49,57,11,41,55,55
33,55,66,13,57,82,82
33,53,62,13,52,73,73
43,51,71,14,69,103,103
36,37,70,11,95,125,125
34,41,60,13,63,77,77
41,58,75,13,75,98,98
37,60,64,11,56,75,75
32,41,56,9,70,88,88
26,40,49,8,70,88,88
39,47,65,9,53,78,78
43,52,71,10,45,69,69
31,42,67,9,92,115,115
49,50,62,10,59,88,88
40,50,65,9,42,66,66
41,39,74,10,91,124,124
36,42,70,9,57,75,75
32,49,65,9,66,85,85
40,59,80,11,64,98,98
43,61,76,11,61,81,81
37,60,69,10,55,60,60
28,64,58,9,57,67,67
29,58,53,11,58,74,74
33,66,58,12,51,67,67
32,62,62,12,47,62,62
30,48,58,12,49,60,60
40,58,65,12,52,66,66
45,64,72,12,57,85,85
35,82,64,11,56,73,82
48,70,64,13,59,85,85
51,71,81,12,64,94,94
50,51,74,10,56,74,74
41,49,65,10,62,82,82
43,77,80,8,64,91,91
36,52,51,8,71,81,81
43,42,69,10,52,76,76
37,44,59,9,65,84,84
42,75,82,11,76,100,100
43,62,85,11,73,96,96
57,95,89,11,71,108,108
40,48,77,8,68,79,79
39,51,72,7,60,73,73
34,63,62,6,59,69,69
41,91,89,9,68,90,91
35,66,76,8,69,84,84
31,89,54,7,64,86,89
38,114,67,9,64,94,114
34,128,73,8,60,95,128
46,83,77,8,58,76,83
37,78,63,8,74,93,93
31,70,61,9,86,104,104
34,58,65,9,61,84,84
38,59,78,9,63,86,86
43,82,82,9,72,94,94
38,90,81,8,59,81,90
44,54,67,8,69,81,81
33,52,59,6,68,82,82
43,53,76,9,83,101,101
44,68,81,9,73,99,99
40,38,72,9,73,96,96
34,77,80,9,98,102,102
25,52,59,7,76,89,89
23,64,49,8,49,79,79
26,91,64,11,51,87,91
30,94,72,9,53,80,94
30,86,66,13,53,75,86
30,94,69,11,54,73,94
30,83,73,10,55,71,83
39,91,76,9,58,73,91
44,98,89,9,54,77,98
42,113,84,11,55,79,113
32,99,78,10,59,81,99
44,92,92,11,60,77,92
38,70,76,10,56,67,70
42,50,79,12,60,73,73
38,48,79,8,65,77,77
44,56,79,9,63,79,79
37,61,79,10,59,74,74
37,76,86,12,66,81,81
32,78,82,12,71,84,84
29,108,66,12,61,77,108
30,94,76,10,59,71,94
34,114,78,12,66,87,114
35,99,72,9,65,86,99
38,85,72,10,61,75,85
41,85,81,10,63,78,85
38,88,85,12,67,88,88
43,77,79,12,69,89,89
42,75,85,11,67,80,80
36,105,87,9,72,88,105
22,71,54,8,69,78,78
37,88,69,11,61,79,88
30,56,69,11,63,82,82
50,88,93,14,76,101,101
48,65,87,16,73,98,98
49,62,83,15,73,93,93
46,66,77,12,73,93,93
26,55,67,13,88,98,98
44,62,75,15,78,109,109
35,50,68,17,71,94,94
30,49,66,11,63,79,79
43,68,73,13,65,80,80
45,67,69,12,60,77,77
57,62,87,11,67,81,81
42,86,78,13,66,92,92
38,88,72,14,71,94,94
41,62,68,13,64,82,82
38,52,64,12,62,80,80
40,47,64,13,61,76,76
45,54,72,13,65,82,82
49,87,82,15,70,95,95
54,114,92,13,73,92,114
44,81,79,14,62,82,82
45,62,83,14,69,85,85
42,49,71,15,66,79,79
54,39,66,14,67,82,82
39,47,77,14,65,79,79
43,51,74,15,68,84,84
37,59,73,13,75,94,94
36,72,64,12,79,97,97
41,62,77,14,81,98,98
37,52,71,15,83,94,94
35,36,67,16,74,88,88
45,49,76,16,83,98,98
39,55,85,12,77,87,87
36,76,92,11,69,86,86
42,59,69,14,64,81,81
37,67,88,16,68,91,91
33,51,73,17,70,84,84
38,50,74,17,72,85,85
39,58,85,18,67,83,83
43,70,86,18,68,84,84
49,59,82,18,67,85,85
50,56,85,19,68,86,86
49,46,78,20,71,88,88
51,36,68,18,63,74,74
46,37,69,18,74,89,89
43,44,72,18,75,99,99
44,37,78,17,75,91,91
29,32,54,12,89,79,89
31,43,57,13,67,63,67
29,38,47,13,47,49,49
46,46,70,14,71,83,83
38,33,66,15,66,70,70
28,32,61,15,79,71,79
28,19,53,14,46,70,70
37,22,52,13,54,83,83
38,42,64,15,66,91,91
33,47,72,16,68,85,85
46,37,71,17,69,80,80
50,43,81,18,75,97,97
41,35,68,15,67,82,82
41,40,68,16,66,79,79
44,40,74,15,68,92,92
32,38,54,13,51,54,54
42,37,71,14,73,87,87
36,33,71,13,70,87,87
45,36,71,15,70,81,81
28,27,51,16,80,70,80
38,25,61,17,77,87,87
43,25,62,15,59,77,77
47,33,75,15,56,80,80
49,36,76,18,63,88,88
55,37,81,20,74,106,106
44,29,78,16,73,97,97
55,37,80,18,77,102,102
57,32,85,20,91,114,114
60,41,85,20,86,121,121
59,41,72,17,89,117,117
57,31,73,16,86,120,120
60,29,70,17,90,123,123
46,26,75,18,86,115,115
64,31,81,17,98,112,112
60,25,62,15,98,110,110
32,23,48,12,151,151,151
35,22,61,14,117,130,130
32,23,66,13,97,113,113
42,24,73,15,88,117,117
52,32,81,16,93,126,126
50,32,78,14,81,115,115
49,40,76,14,85,110,110
42,31,56,13,69,92,92
34,28,61,11,65,80,80
45,20,63,14,76,97,97
33,25,62,11,64,85,85
38,27,77,14,67,99,99
42,29,74,14,73,111,111
38,35,67,14,74,113,113
38,29,70,12,67,105,105
41,35,75,14,61,101,101
40,29,73,16,66,104,104
53,28,92,16,71,112,112
40,22,87,19,83,123,123
27,26,57,13,56,78,78
33,25,53,12,52,84,84
24,23,42,10,36,49,49
21,26,38,8,27,37,37
28,23,50,11,51,60,60
35,18,63,13,61,81,81
43,18,82,16,70,104,104
39,15,72,17,64,97,97
50,16,88,20,75,120,120
46,16,76,17,70,111,111
34,17,62,15,55,90,90
37,23,63,14,63,101,101
43,13,79,15,70,118,118
43,15,89,16,83,141,141
37,15,86,19,90,144,144
41,9,82,18,79,123,123
30,19,58,16,57,77,77
41,18,69,12,40,67,67
44,13,79,16,64,114,114
45,14,85,19,74,122,122
41,14,85,16,65,101,101
44,14,76,16,60,95,95
39,15,75,21,66,112,112
40,18,65,18,68,113,113
47,20,82,17,67,112,112
52,14,95,23,87,145,145
55,10,98,19,89,146,146
52,14,99,21,92,151,151
56,13,106,23,105,158,158
81,10,103,27,120,172,172
37,16,101,15,64,115,115
45,26,66,14,55,99,99
51,14,82,19,67,105,105
66,17,93,22,79,115,115
27,25,70,11,54,72,72
29,15,58,13,66,93,93
34,16,63,11,66,87,87
39,13,76,15,71,105,105
47,17,83,15,73,115,115
49,12,100,20,94,141,141
46,13,98,20,98,152,152
35,20,74,19,79,128,128
27,22,50,12,46,65,65
34,17,71,13,54,79,79
42,13,76,16,76,129,129
40,21,72,14,67,119,119
41,9,73,10,56,107,107
39,17,69,13,48,86,86
38,16,72,15,61,107,107
41,13,78,16,60,109,109
36,14,75,20,72,131,131
41,19,82,21,71,131,131
59,20,92,19,74,132,132
36,23,71,14,55,73,73
41,15,81,18,63,101,101
28,27,55,13,55,68,68
26,16,49,15,56,90,90
28,18,54,17,58,104,104
39,23,64,16,59,100,100
31,26,61,18,58,90,90
38,22,69,12,54,83,83
44,18,88,15,68,110,110
45,11,85,25,86,138,138
33,19,76,16,76,113,113
41,25,66,14,76,104,104
33,32,58,16,75,103,103
30,26,51,12,60,81,81
32,12,48,13,30,56,56
30,11,50,18,23,52,52
36,19,66,15,56,114,114
33,21,65,18,66,136,136
47,21,93,18,83,145,145
40,20,89,18,78,139,139
44,25,84,18,72,122,122
48,23,93,22,94,144,144
50,18,97,20,107,158,158
57,14,100,23,127,177,177
50,23,95,23,125,175,175
28,27,82,17,73,115,115
28,22,58,13,65,108,108
28,28,55,14,67,114,114
29,27,60,14,68,109,109
40,34,65,14,71,112,112
45,11,78,15,68,115,115
33,20,57,12,51,87,87
28,27,58,12,38,46,46
40,19,69,15,75,104,104
26,18,49,12,46,69,69
52,8,68,15,69,114,114
40,18,67,11,59,80,80
33,24,52,11,53,73,73
34,30,63,12,51,80,80
41,19,67,11,64,102,102
26,26,54,10,43,79,79
31,28,47,13,41,65,65
27,20,47,11,23,39,39
30,20,51,13,46,65,65
31,25,51,13,45,58,58
38,18,64,14,58,90,90
33,29,67,10,56,82,82
32,30,50,10,42,66,66
27,35,49,12,44,63,63
29,30,50,13,57,67,67
30,26,52,12,64,82,82
38,29,55,14,67,90,90
25,27,45,12,56,72,72
43,29,61,13,80,111,111
36,31,56,13,73,96,96
26,33,43,11,76,88,88
35,34,57,13,74,86,86
30,29,57,15,91,114,114
28,36,51,11,53,59,59
36,31,57,16,77,143,143
41,33,70,15,61,97,97
43,30,54,14,66,87,87
27,37,44,11,53,62,62
30,30,47,11,43,62,62
34,36,69,14,49,73,73
54,41,75,18,56,98,98
40,64,71,14,46,83,83
29,37,48,11,62,73,73
34,45,51,12,31,45,45
33,37,52,12,77,103,103
33,39,49,12,93,131,131
30,36,51,11,64,92,92
26,42,42,10,60,85,85
42,39,62,13,62,87,87
30,36,49,13,81,115,115
39,41,51,16,66,104,104
20,34,34,9,77,109,109
26,43,45,11,45,56,56
30,45,53,14,66,83,83
34,54,61,13,60,85,85
32,39,57,12,39,53,53
22,42,40,13,41,49,49
25,42,49,17,49,71,71
21,55,42,15,49,67,67
29,16,59,12,41,74,74
26,43,54,17,46,79,79
23,47,48,15,41,71,71
20,40,47,12,33,44,44
35,39,59,13,51,67,67
27,31,62,13,58,78,78
21,46,47,11,48,61,61
21,44,47,10,32,51,51
24,23,44,10,33,59,59
26,18,53,9,35,61,61
24,33,56,12,52,107,107
33,43,61,13,48,91,91
37,45,71,12,55,97,97
36,51,68,12,52,75,75
26,33,57,10,77,106,106
26,30,44,9,66,94,94
33,22,76,10,43,73,73
31,43,70,10,47,73,73
23,52,72,6,45,56,56
20,38,55,9,52,64,64
25,36,52,9,52,69,69
25,42,57,10,79,111,111
23,40,58,11,51,72,72
26,40,59,11,39,75,75
30,36,66,6,52,83,83
26,53,60,6,50,71,71
23,44,54,4,52,66,66
23,40,65,3,42,58,58
29,43,74,4,49,74,74
27,42,70,5,65,81,81
31,39,75,5,86,108,108
22,36,57,5,60,83,83
26,26,48,3,30,48,48
21,47,55,3,41,51,51
18,47,62,3,42,50,50
26,38,69,4,78,94,94
19,42,61,4,67,82,82
24,46,60,4,52,65,65
16,51,62,4,46,54,54
14,47,54,4,35,43,47
18,54,64,4,39,54,54
20,81,70,4,44,56,81
19,67,74,5,46,56,67
22,91,78,5,46,59,91
19,76,68,5,52,61,76
21,52,66,5,48,62,62
20,49,50,4,36,41,49
27,47,56,5,57,61,61
13,59,47,5,70,87,87
22,50,60,5,98,118,118
20,71,52,6,67,75,75
26,80,71,5,78,86,86
20,115,75,5,79,74,115
24,53,50,4,73,69,73
17,47,46,4,67,78,78
22,31,61,4,62,79,79
18,44,45,4,52,66,66
26,49,56,4,40,50,50
22,105,71,4,45,59,105
19,48,39,4,55,58,58
21,67,66,5,49,63,67
22,61,56,4,43,48,61
24,122,70,5,42,54,122
20,73,54,5,59,56,73
24,83,68,7,64,68,83
18,85,59,5,62,60,85
18,62,59,5,47,57,62
24,56,69,5,56,64,64
20,80,54,6,51,66,80
28,117,48,7,48,68,117
17,88,58,5,49,64,88
21,83,63,5,43,58,83
31,58,52,6,66,79,79
22,58,61,6,64,77,77
35,98,86,7,62,83,98
28,108,77,6,70,88,108
30,95,84,7,63,83,95
30,87,91,7,68,90,90
30,115,84,8,75,99,115
31,90,73,8,70,93,93
29,60,56,6,60,76,76
25,92,66,9,60,82,92
25,105,80,6,60,84,105
28,82,71,6,54,67,82
28,100,71,7,59,81,100
19,150,62,7,66,83,150
17,133,64,6,68,83,133
20,52,59,5,59,65,65
23,129,74,7,63,85,129
25,117,64,6,57,79,117
26,85,80,6,52,64,85
26,100,82,8,62,78,100
40,70,74,8,63,77,77
26,72,68,8,66,77,77
25,72,75,8,66,82,82
23,70,67,7,67,83,83
27,117,66,8,65,83,117
25,101,64,6,57,74,101
22,56,68,6,59,71,71
25,56,69,7,65,81,81
29,62,73,8,83,98,98
19,62,68,6,74,84,84
21,46,53,6,61,74,74
35,62,64,7,65,76,76
23,58,54,6,57,70,70
25,52,67,7,63,76,76
23,54,85,10,64,76,76
21,48,70,7,80,94,94
25,69,70,7,79,106,106
24,66,64,6,74,89,89
24,59,79,7,64,82,82
15,74,65,5,58,72,74
25,101,80,9,65,80,101
31,101,89,9,63,81,101
31,98,87,8,61,77,98
31,81,78,7,57,68,81
26,61,82,7,57,74,74
18,49,53,6,54,67,67
15,49,50,5,51,58,58
28,43,67,6,56,65,65
28,49,75,6,57,72,72
33,56,66,6,68,82,82
24,61,61,6,68,85,85
21,52,56,5,60,75,75
29,59,55,5,55,63,63
31,80,68,5,60,65,80
31,76,61,7,66,76,76
32,54,55,7,71,83,83
24,65,58,6,68,79,79
30,62,59,8,70,79,79
37,53,63,8,73,80,80
36,58,56,6,64,69,69
33,52,63,7,62,67,67
37,51,83,8,69,78,78
24,102,56,10,134,116,134
24,57,49,10,83,88,88
30,53,55,10,70,78,78
25,65,48,10,61,69,69
23,48,44,9,62,69,69
33,61,57,10,61,71,71
32,72,56,13,66,83,83
26,56,59,10,59,68,68
32,45,62,10,58,66,66
46,57,76,13,66,84,84
45,56,67,11,66,65,66
40,67,63,13,68,63,68
32,60,55,11,60,76,76
20,53,44,10,64,81,81
21,54,44,10,66,81,81
26,56,54,11,61,74,74
29,51,58,11,60,72,72
37,48,63,13,62,80,80
38,55,59,10,61,75,75
35,62,69,10,62,76,76
35,63,76,12,62,74,74
35,41,76,11,71,94,94
41,58,77,14,71,92,92
44,47,86,15,66,80,80
28,33,74,11,79,87,87
28,62,68,11,76,96,96
34,68,69,13,68,88,88
43,67,85,16,70,91,91
47,52,78,14,70,88,88
34,43,75,13,65,79,79
29,50,64,12,90,89,90
18,33,35,12,74,86,86
15,42,35,10,50,65,65
25,42,56,12,40,54,54
27,44,61,14,49,60,60
38,41,68,14,66,88,88
19,45,50,11,54,66,66
33,48,73,12,55,68,68
31,75,80,12,58,75,75
35,42,60,12,46,55,55
27,37,51,10,42,48,48
41,34,61,13,51,60,60
40,52,66,12,61,72,72
39,40,64,14,58,73,73
43,39,70,13,64,74,74
36,35,48,15,73,83,83
40,42,62,10,62,76,76
24,54,49,9,61,69,69
22,26,35,9,29,39,39
24,23,43,11,46,65,65
25,34,43,13,45,60,60
33,28,57,16,63,87,87
25,20,43,19,47,82,82
26,33,59,12,57,76,76
21,35,40,11,54,69,69
22,17,45,16,54,81,81
29,26,52,11,55,82,82
24,29,56,12,58,75,75
25,30,46,13,39,65,65
34,28,50,14,54,80,80
33,31,55,14,56,77,77
33,38,55,11,54,72,72
38,28,68,17,64,81,81
33,29,57,12,57,81,81
31,24,59,12,58,90,90
32,27,62,10,55,69,69
21,25,45,10,57,65,65
49,25,51,13,71,84,84
23,22,44,10,30,45,45
20,26,43,11,44,50,50
26,15,40,10,45,69,69
22,19,44,11,53,81,81
27,29,62,10,49,77,77
31,26,50,12,48,61,61
20,28,47,11,44,57,57
22,31,46,13,40,50,50
26,23,52,13,44,55,55
33,22,57,13,51,62,62
41,20,63,16,59,76,76
23,21,51,9,34,59,59
27,17,52,12,42,69,69
26,22,61,13,47,84,84
32,25,72,13,52,92,92
31,27,57,10,58,105,105
32,19,52,10,40,79,79
28,13,53,10,23,47,47
23,13,49,11,33,64,64
19,27,40,7,26,54,54
26,15,44,8,44,85,85
42,10,73,11,51,98,98
44,17,81,14,55,84,84
43,23,77,13,65,111,111
38,23,76,13,70,111,111
39,24,77,15,72,120,120
41,19,72,15,67,102,102
34,22,50,9,46,66,66
20,16,48,10,30,52,52
24,13,48,8,32,54,54
20,11,36,8,28,56,56
26,17,51,9,33,51,51
39,18,73,13,56,87,87
40,14,84,14,66,110,110
38,16,76,12,80,134,134
26,22,59,12,64,103,103
29,21,63,12,61,92,92
43,22,80,13,65,98,98
43,19,88,14,80,126,126
